x,y
1537.1787923027405, -49.80420685814877
1538.043095916866, -48.47856154910097
1538.8424510299797, -47.07567674372654
1539.659049107964, -45.6242927197284
1540.474210272209, -44.41720105620521
1541.230601664521, -42.89217007059331
1541.9469031635092, -41.39587936268434
1542.8475606952363, -39.91216252627041
1543.5457570811109, -38.37635393651991
1544.2564546165165, -37.009394478274146
1544.9372643461468, -35.57058432577105
1545.7580294739746, -33.867722871872246
1546.5637070075409, -32.06427044601318
1547.5050291980872, -30.14226437462952
1548.397208938753, -27.941836862998688
1549.141242872908, -26.23897540909989
1549.8140058855986, -24.494799806003126
1550.518093617804, -22.764994341757827
1551.290291061247, -20.60947351403783
1552.0295831800624, -18.615616748396832
1552.8719020139783, -16.16011927215247
1553.6586122861872, -13.643548705789371
1554.3595388081662, -11.207810170465777
1555.0504069339709, -8.955290905498373
1555.8842479768255, -5.829785705304381
1556.4549901140335, -3.2018465628424124
1557.1063431120103, -0.1320256506978552
1557.7385851572558, 3.349140486069942
1558.2633460548097, 6.824917820768441
1558.7613803568145, 11.109015465861937
1559.1819650082766, 16.382856424350194
1559.3804027956594, 22.452443821738427
1559.250936867758, 29.253112033195023
1558.9323730917786, 34.04196080544628
1558.2928027864632, 39.78103500925077
1557.6744988044877, 44.13877961595803
1557.0432625988597, 47.64688976307234
1556.5578731377598, 50.0431104165544
