hpl_top_mount.y,hpl_lca_outer.z,hpl_lca_front.z,camber_angle,toe_angle,track
-600.0,155.0,170.0,0.3397871049999993,0.47694921499999954,6.9169145
-600.0,155.0,172.10526315789474,0.346536368157894,0.465178899210526,7.011769236842105
-600.0,155.0,174.21052631578948,0.3532856313157887,0.45340858342105206,7.1066239736842105
-600.0,155.0,176.31578947368422,0.3600348944736834,0.44163826763157854,7.201478710526316
-600.0,155.0,178.42105263157896,0.3667841576315781,0.4298679518421046,7.296333447368421
-600.0,155.0,180.52631578947367,0.3735334207894728,0.41809763605263106,7.3911881842105265
-600.0,155.0,182.6315789473684,0.38028268394736753,0.40632732026315754,7.486042921052628
-600.0,155.0,184.73684210526315,0.38703194710526223,0.394557004473684,7.580897657894737
-600.0,155.0,186.8421052631579,0.39378121026315693,0.38278668868421006,7.675752394736839
-600.0,155.0,188.94736842105263,0.40053047342105164,0.37101637289473655,7.770607131578948
-600.0,155.0,191.05263157894737,0.40727973657894634,0.3592460571052626,7.8654618684210496
-600.0,155.0,193.1578947368421,0.41402899973684104,0.34747574131578907,7.960316605263158
-600.0,155.0,195.26315789473685,0.42077826289473574,0.33570542552631555,8.055171342105261
-600.0,155.0,197.3684210526316,0.42752752605263045,0.3239351097368416,8.15002607894737
-600.0,155.0,199.4736842105263,0.43427678921052515,0.31216479394736807,8.244880815789472
-600.0,155.0,201.57894736842104,0.44102605236841985,0.30039447815789455,8.33973555263158
-600.0,155.0,203.68421052631578,0.44777531552631455,0.2886241623684206,8.434590289473679
-600.0,155.0,205.78947368421052,0.45452457868420926,0.27685384657894707,8.529445026315788
-600.0,155.0,207.89473684210526,0.46127384184210396,0.2650835307894731,8.62429976315789
-600.0,155.0,210.0,0.46802310499999866,0.2533132149999996,8.719154499999995
-600.0,157.10526315789474,170.0,0.3301957365789462,0.5090607939473683,6.763889236842103
-600.0,157.10526315789474,172.10526315789474,0.3369449997368409,0.49729047815789473,6.858743973684208
-600.0,157.10526315789474,174.21052631578948,0.3436942628947356,0.48552016236842077,6.953598710526314
-600.0,157.10526315789474,176.31578947368422,0.3504435260526303,0.47374984657894725,7.048453447368419
-600.0,157.10526315789474,178.42105263157896,0.357192789210525,0.4619795307894733,7.143308184210524
-600.0,157.10526315789474,180.52631578947367,0.3639420523684197,0.4502092149999998,7.23816292105263
-600.0,157.10526315789474,182.6315789473684,0.3706913155263144,0.43843889921052626,7.3330176578947315
-600.0,157.10526315789474,184.73684210526315,0.3774405786842091,0.42666858342105274,7.42787239473684
-600.0,157.10526315789474,186.8421052631579,0.3841898418421038,0.4148982676315788,7.522727131578942
-600.0,157.10526315789474,188.94736842105263,0.3909391049999985,0.40312795184210526,7.617581868421051
-600.0,157.10526315789474,191.05263157894737,0.3976883681578932,0.3913576360526313,7.712436605263153
-600.0,157.10526315789474,193.1578947368421,0.4044376313157879,0.3795873202631578,7.807291342105262
-600.0,157.10526315789474,195.26315789473685,0.4111868944736826,0.36781700447368426,7.902146078947363
-600.0,157.10526315789474,197.3684210526316,0.4179361576315773,0.3560466886842103,7.997000815789472
-600.0,157.10526315789474,199.4736842105263,0.424685420789472,0.3442763728947368,8.091855552631575
-600.0,157.10526315789474,201.57894736842104,0.4314346839473667,0.33250605710526326,8.186710289473684
-600.0,157.10526315789474,203.68421052631578,0.43818394710526143,0.3207357413157893,8.281565026315782
-600.0,157.10526315789474,205.78947368421052,0.44493321026315613,0.3089654255263158,8.376419763157891
-600.0,157.10526315789474,207.89473684210526,0.45168247342105083,0.2971951097368418,8.471274499999993
-600.0,157.10526315789474,210.0,0.45843173657894554,0.2854247939473683,8.566129236842102
-600.0,159.21052631578948,170.0,0.32060436815789395,0.5411723728947365,6.61086397368421
-600.0,159.21052631578948,172.10526315789474,0.32735363131578865,0.529402057105263,6.705718710526315
-600.0,159.21052631578948,174.21052631578948,0.33410289447368335,0.517631741315789,6.8005734473684205
-600.0,159.21052631578948,176.31578947368422,0.34085215763157806,0.5058614255263155,6.895428184210526
-600.0,159.21052631578948,178.42105263157896,0.34760142078947276,0.49409110973684156,6.990282921052631
-600.0,159.21052631578948,180.52631578947367,0.35435068394736746,0.48232079394736804,7.0851376578947365
-600.0,159.21052631578948,182.6315789473684,0.36109994710526216,0.4705504781578945,7.179992394736838
-600.0,159.21052631578948,184.73684210526315,0.36784921026315687,0.458780162368421,7.274847131578947
-600.0,159.21052631578948,186.8421052631579,0.37459847342105157,0.44700984657894705,7.369701868421049
-600.0,159.21052631578948,188.94736842105263,0.3813477365789463,0.4352395307894735,7.464556605263158
-600.0,159.21052631578948,191.05263157894737,0.388096999736841,0.42346921499999957,7.55941134210526
-600.0,159.21052631578948,193.1578947368421,0.3948462628947357,0.41169889921052605,7.654266078947368
-600.0,159.21052631578948,195.26315789473685,0.4015955260526304,0.39992858342105253,7.74912081578947
-600.0,159.21052631578948,197.3684210526316,0.4083447892105251,0.38815826763157857,7.843975552631579
-600.0,159.21052631578948,199.4736842105263,0.4150940523684198,0.37638795184210505,7.938830289473681
-600.0,159.21052631578948,201.57894736842104,0.4218433155263145,0.36461763605263153,8.03368502631579
-600.0,159.21052631578948,203.68421052631578,0.4285925786842092,0.35284732026315757,8.128539763157889
-600.0,159.21052631578948,205.78947368421052,0.4353418418421039,0.34107700447368405,8.223394499999998
-600.0,159.21052631578948,207.89473684210526,0.4420911049999986,0.3293066886842101,8.3182492368421
-600.0,159.21052631578948,210.0,0.4488403681578933,0.3175363728947366,8.413103973684208
