x,y
-0.8842964478788065, 49.34497816593886
-0.880448062062857, 40.18875898013805
-0.8429606609449926, 30.548316664318918
-0.7821080602302923, 21.603394844344272
-0.7176475978131396, 14.93520214114664
-0.6362359121590666, 7.749330891674884
-0.567468922757399, 2.5161994647133397
-0.49533459576677563, -2.3418791379067474
-0.4315384380440427, -6.353007465840259
-0.37285055435081405, -9.874630229609803
-0.3130173177361718, -13.445555712072123
-0.2338734308664977, -17.90921256515002
-0.1645337650041233, -21.601634032962387
-0.07787636296997658, -25.6937596844626
0.031195595736232873, -30.727919425271164
0.11564246663205147, -34.52422876461473
0.2028381845392626, -38.39273137061558
0.30644680981032946, -42.620439498520916
0.40984927155554196, -46.56641780532469
0.4589505512965395, -48.63889280180307
